1;2;3;4;5;6;7;8;9;10;11;12
0.00637943;0.002168489;0.00239825;0.002320068;0.002368531;0.002307545;0.002284425;0.002223137;0.002320474;0.002124031;0.002064783;0.002029855
0.002168489;0.00415616;0.002161115;0.002095288;0.002134548;0.002083508;0.002064875;0.002014072;0.002094806;0.001930119;0.001879127;0.001849906
0.00239825;0.002161115;0.008547963;0.002312081;0.002360482;0.00229978;0.002276697;0.002215627;0.002312607;0.002117162;0.002058424;0.002023673
0.002320068;0.002095288;0.002312081;0.006904053;0.002284316;0.002226784;0.00220489;0.002146992;0.002238929;0.002053672;0.001998006;0.001965054
0.002368531;0.002134548;0.002360482;0.002284316;0.006616912;0.002273835;0.002250125;0.002189429;0.002285771;0.002093474;0.002037066;0.002002746
0.002307545;0.002083508;0.00229978;0.002226784;0.002273835;0.005960534;0.002193971;0.002135968;0.002228057;0.002043895;0.001989595;0.001956693
0.002284425;0.002064875;0.002276697;0.00220489;0.002250125;0.002193971;0.005640847;0.002115674;0.002205652;0.002024847;0.001970886;0.001938689
0.002223137;0.002014072;0.002215627;0.002146992;0.002189429;0.002135968;0.002115674;0.005699309;0.00214727;0.001974869;0.001922664;0.001891978
0.002320474;0.002094806;0.002312607;0.002238929;0.002285771;0.002228057;0.002205652;0.00214727;0.006106574;0.002054228;0.001999189;0.001966107
0.002124031;0.001930119;0.002117162;0.002053672;0.002093474;0.002043895;0.002024847;0.001974869;0.002054228;0.005215452;0.001846598;0.001818148
0.002064783;0.001879127;0.002058424;0.001998006;0.002037066;0.001989595;0.001970886;0.001922664;0.001999189;0.001846598;0.004961079;0.001774765
0.002029855;0.001849906;0.002023673;0.001965054;0.002002746;0.001956693;0.001938689;0.001891978;0.001966107;0.001818148;0.001774765;0.004467023
