1;2;3;4;5;6;7;8;9;10
0.019952259;0.008395939;0.009082483;0.008866294;0.009118462;0.00843424;0.008424814;0.008635965;0.008833338;0.009491917
0.008395939;0.022916216;0.009165285;0.008949262;0.009200775;0.008511466;0.00850131;0.008715442;0.008914164;0.000367846
0.009082483;0.009165285;0.026257505;0.009682247;0.009956987;0.009208833;0.009197522;0.009429365;0.009643939;0.010364402
0.008866294;0.008949262;0.009682247;0.026442775;0.009720518;0.008990623;0.008979183;0.009205691;0.009415164;0.010117879
0.009118462;0.009200775;0.009956987;0.009720518;0.020381103;0.009245355;0.009233939;0.009466434;0.009682158;0.010405467
0.00843424;0.008511466;0.009208833;0.008990623;0.009245355;0.017640019;0.008540835;0.008755752;0.008955163;0.009623266
0.008424814;0.00850131;0.009197522;0.008979183;0.009233939;0.008540835;0.017407045;0.008745136;0.008944424;0.009611709
0.008635965;0.008715442;0.009429365;0.009205691;0.009466434;0.008755752;0.008745136;0.017961544;0.009169355;0.009853936
0.008833338;0.008914164;0.009643939;0.009415164;0.009682158;0.008955163;0.008944424;0.009169355;0.020060518;0.010078372
0.009491917;0.000367846;0.010364402;0.010117879;0.010405467;0.009623266;0.009611709;0.009853936;0.010078372;0.029337983
